,Friedel_et_al_B_cells,Tani_et_al_Hela,Schofield_et_al_K562,Mele_et_al_K562,Mele_et_al_H1-ESC,Wu_et_al_K562,Wu_et_al_293T,Arango_et_al_Hela,Wachutka_et_al_K562
ENSG00000005156,628.9,7.36,3.0981,5.499352333333333,9.030186333333333,-0.083349124,0.0116319287344854,3.18369619055641,505.921627992181
ENSG00000005175,787.8,3.85,2.7348,6.167329333333334,7.981459666666666,-0.140726413,0.0247846368263868,3.75725888003539,217.061998370658
ENSG00000005187,,,,14.485156666666668,,,0.0469050961890075,4.14480071659837,724.3845190350239
ENSG00000005189,,6.13,,14.011903333333334,,,0.0326539480692871,,578.399310630002
ENSG00000005194,381.1,7.62,3.22555,11.461936,15.860483333333335,-0.079712176,0.0333406802546553,2.99189806694577,533.405578706417
ENSG00000005206,,,,,,,0.0703916309690807,,
ENSG00000005238,,2.22,,1.5265873333333333,,-0.236961561,-0.078787265179598,2.8119789511254,69.7327411169909
ENSG00000005249,650.4,,8.54675,11.605896666666666,18.403266666666667,-0.080700198,0.0397718160435886,5.60645512505066,854.7592981937249
ENSG00000005302,,8.21,,10.105635666666666,,-0.061489343,0.0444404396250581,5.80445811893462,269.962203488509
ENSG00000005339,245.6,3.85,0.5989,1.6052480000000002,1.9853126666666665,-0.204064753,-0.0408471067450275,2.75934730076117,116.5982214534
ENSG00000005379,,,,,,-0.066421321,,,25.9007796210216
ENSG00000005436,,3.51,,5.963553,7.6553070000000005,-0.102650197,0.00921576086401834,3.57825593143822,752.206683891949
ENSG00000005448,1113.4,,,,,,0.0347259394850905,13.1452966512316,
ENSG00000005469,446.2,6.33,,7.806114,,-0.106976698,0.0121059316876435,2.82963751974434,
ENSG00000005471,,,,,,,0.038360205601806,,
ENSG00000005483,,2.6,0.46405,1.4540923333333335,1.3744556666666667,-0.219257362,-0.0145356023282974,2.44273751792615,136.289902983963
ENSG00000005486,370.7,19.74,,11.2592,,,0.0219768133597903,6.80976019740685,994.079767484998
ENSG00000005513,,,,,,,-0.00116805482522283,,
ENSG00000005700,376.0,3.33,0.90935,5.180574333333333,4.862254666666666,-0.177148252,-0.00533785268673793,3.09750086279377,275.84811732429904
ENSG00000005801,103.9,2.44,0.74375,5.342047333333333,4.246055,-0.1013549,-0.038174136375869,2.1666455407452,201.102414601263
ENSG00000005810,196.9,3.23,1.8034,2.551016,4.819394666666667,-0.180235447,-0.0335507076686957,3.42752413061987,239.931376155378
ENSG00000005812,105.7,2.5,0.5273,2.4659326666666668,2.0906533333333335,-0.271011379,-0.0514145898617932,2.4985503425752,99.56657461048991
ENSG00000005844,306.0,,,,,,,,
ENSG00000005882,,10.74,,,,,0.0432535614771961,4.33573031951198,
ENSG00000005884,,13.57,,,,,0.0199256042536562,6.89711831661418,
ENSG00000005889,145.9,2.5,0.3443,0.8008484666666668,1.6077196666666669,-0.272628472,-0.0415342606348397,2.36625387941856,76.6335946927256
ENSG00000005893,708.0,,,16.401016666666667,,-0.076670174,0.046170737259396,22.5685651287947,653.175959350584
